strawperson,sex,car,date,Age,ID_hash,comm_type,whr,beauty
A,female,no,11/25/15,33,00ea3329d63d9f9b298340d4c45281b0,match,0.7,7
A,female,no,11/25/15,27,873df4cd65005383fc6fdedf017a442a,match,0.7,7
A,female,no,11/25/15,24,3b44813bea51d8674ab7a1ddd22ca0e4,match,0.7,7
A,female,no,11/25/15,35,2af9755a721f96a15c53365cb1d5a759,match,0.7,7
A,female,no,11/25/15,33,021cb093b5fb2b2c9fc09e8616db34b7,match,0.7,7
A,female,no,11/25/15,26,fd45b8505a35bed44ec80ef7815d8c5d,match,0.7,7
A,female,no,11/25/15,25,24181481e6103d59e6661a3612c48752,match,0.7,7
A,female,no,11/25/15,27,0fc5d3a9b53d1ff4a38b4e30d1a960dd,match,0.7,7
A,female,no,11/25/15,32,10057d6ba94ca317d65aad155422f832,match,0.7,7
A,female,no,11/25/15,29,2dcefbb33279b94af61f260614f4a06a,match,0.7,7
A,female,no,11/25/15,30,ee21806af8871ec7c2709dd43cbe151c,match,0.7,7
A,female,no,11/25/15,25,edc2554113296a4e756c58117440765c,match,0.7,7
A,female,no,11/25/15,23,393c324f43315996af254f6a8e357c08,match,0.7,7
A,female,no,11/25/15,26,80fd6b1b180830a6668d21ebdfc589e0,match,0.7,7
A,female,no,11/25/15,38,9220306112f77d3c738014b4bbd1339d,match,0.7,7
A,female,no,11/25/15,22,784bd16a74b38e260b94228d41988ba2,match,0.7,7
A,female,no,11/25/15,37,5a45bc602a4fe751106b30749f8059fa,match,0.7,7
A,female,no,11/25/15,25,36be9f6e27cafcdb97a54f2148a4f826,match,0.7,7
A,female,no,11/25/15,37,93ec65501a21f0a2c1ab2c14d64c990d,match,0.7,7
A,female,no,11/25/15,33,64c36a564cdf033f692e9e5b2b488b14,match,0.7,7
A,female,no,11/25/15,37,933cd38358c6e616af6bda7d7e624a22,match,0.7,7
A,female,no,11/25/15,32,315c3732aedebff2eb62ef88af000564,match,0.7,7
A,female,no,11/25/15,21,d2793e06d18bd8c72511119d6e1d9aa3,match,0.7,7
A,female,no,11/25/15,20,b60726384f20a1e90ccc7fc515dc6006,match,0.7,7
A,female,no,11/25/15,29,1b49bfa9fd978ebf8b6c3fcf7cfe92af,match,0.7,7
A,female,no,11/25/15,37,f9ba4dd5df2717b9605615dcba6ac90e,match,0.7,7
A,female,no,11/25/15,35,b575a000c02ff48e0c8a01f35f7bfe16,match,0.7,7
A,female,no,11/25/15,20,c9966b2ec26e9a1a69def691ce0b64c7,match,0.7,7
A,female,no,11/25/15,23,ed8353ec92cc04385d51b1826c6101ce,match,0.7,7
A,female,no,11/25/15,25,dc08b20ffa38c66e757b7d28b268aabe,match,0.7,7
A,female,no,11/25/15,38,d2db78bef265641e8d51f12bab0048cb,match,0.7,7
A,female,no,11/25/15,29,9cebc424242f797787cfdbafe9193133,match,0.7,7
A,female,no,11/25/15,31,393c324f43315996af254f6a8e357c08,match,0.7,7
A,female,no,11/25/15,38,76112d86cf91b451c3b7678abf0262ac,match,0.7,7
A,female,no,11/25/15,31,24faed48e17e87f28f7f9e9b9e3ab1e2,match,0.7,7
A,female,no,11/25/15,20,e80414d7e10467d063891a9303c3dfee,match,0.7,7
A,female,no,11/25/15,21,756b626c069efd6897343094a5a51189,match,0.7,7
A,female,no,11/25/15,25,d966dbefec8eff4a465632be33e2b1bb,match,0.7,7
A,female,no,11/25/15,20,807788931799e6916759cec2987fdb27,match,0.7,7
A,female,no,11/25/15,37,b575a000c02ff48e0c8a01f35f7bfe16,match,0.7,7
A,female,no,11/25/15,32,37cc7679daf28b1a75d83a0b6a978431,match,0.7,7
A,female,no,11/25/15,26,dd82d09e51606fe5006f38acdb19e9cb,match,0.7,7
A,female,no,11/25/15,24,77334712c5748ccb04a26c09dcacd0ad,match,0.7,7
A,female,no,11/25/15,24,28b796588044e7e5fe24652ca44c54b7,match,0.7,7
A,female,no,11/25/15,35,34d2008d95fc38850f3c6ccf3df6688d,match,0.7,7
A,female,no,11/25/15,20,7db3b12053fb0a73cc04df4d61e12f54,match,0.7,7
A,female,no,11/25/15,32,7cc1dae6dd1de606fda9cbe2ddff0892,match,0.7,7
A,female,no,11/26/15,28,0fc5d3a9b53d1ff4a38b4e30d1a960dd,match,0.7,7
A,female,no,11/26/15,32,0fc5d3a9b53d1ff4a38b4e30d1a960dd,match,0.7,7
A,female,no,11/26/15,34,2af9755a721f96a15c53365cb1d5a759,match,0.7,7
A,female,no,11/26/15,20,3cab25822f72aba7a5b4b61249266dcc,match,0.7,7
A,female,no,11/26/15,25,c3a2af30bde2fd25f0e1ce2c55724c61,match,0.7,7
A,female,no,11/26/15,33,e6c5767aab3dc714c2d34eb136e46f49,match,0.7,7
A,female,no,11/26/15,29,523268bb8b6605c561283bb4416d2066,match,0.7,7
A,female,no,11/26/15,33,0b133a70c429cf48191a09bc705b1958,match,0.7,7
A,female,no,11/26/15,26,6797cf8fb383210c24ee67223c8407ae,match,0.7,7
A,female,no,11/26/15,30,66d23ddb4c2209bed32a6f8a32928465,match,0.7,7
A,female,no,11/26/15,29,43aaf67d09a1fc905a2ac5e63ac6e7a2,match,0.7,7
A,female,no,11/26/15,35,ecc165cdb057b9937d07c4c87a92a9f4,match,0.7,7
A,female,no,11/26/15,23,315c3732aedebff2eb62ef88af000564,match,0.7,7
A,female,no,11/26/15,30,65ce6a63e0bb60f4c70f8946f895ce8d,match,0.7,7
A,female,no,11/26/15,25,41f1470ac9d55f8f55254f21ec63fb71,match,0.7,7
A,female,no,11/26/15,32,710191cc8a6453a8ebf3c70c55772a9f,match,0.7,7
A,female,no,11/26/15,28,1b49bfa9fd978ebf8b6c3fcf7cfe92af,match,0.7,7
A,female,no,11/26/15,35,0fc5d3a9b53d1ff4a38b4e30d1a960dd,match,0.7,7
A,female,no,11/26/15,26,c6825d733f90dab0677b8a392f6d2d31,match,0.7,7
A,female,no,11/26/15,34,0ed945e5f0afdcf19f70f0a6d159f6f3,match,0.7,7
A,female,no,11/26/15,29,f374eadfd35738f8229369d7a3273d38,match,0.7,7
A,female,no,11/26/15,38,d7f023fb6f2afe4562c1e9bb9cfd0e6d,match,0.7,7
A,female,no,11/26/15,20,216e7c2f98808b8a955a56260834a226,match,0.7,7
A,female,no,11/26/15,36,f501777d351c913c57ccabd2fb4edc00,match,0.7,7
A,female,no,11/26/15,28,587abfcecbb2ce18d511304d66b639ae,match,0.7,7
A,female,no,11/26/15,26,a87cafd08b2eb05d8d719a1ace8deb00,match,0.7,7
A,female,no,11/26/15,27,14ebd3b078f031caef071209dc3c0125,match,0.7,7
A,female,no,11/26/15,25,5f31beac728287e1175352639baddf2b,match,0.7,7
A,female,no,11/26/15,24,4ff216bb960b2c5ef5b046794226dcd2,match,0.7,7
A,female,no,11/26/15,30,f7b9b625faf09645fb38989b18036d38,match,0.7,7
A,female,no,11/26/15,26,518de9b92a5c657d997450c755e74767,match,0.7,7
A,female,no,11/26/15,22,5825a1837d17e95ec6daf7dca29155d4,match,0.7,7
A,female,no,11/26/15,24,87061e5777a72a5bf636cb49feb14c5e,match,0.7,7
A,female,no,11/26/15,23,c2ad1e15c0269b609194c7898118f69c,match,0.7,7
A,female,no,11/26/15,22,48993978ccd6ab59c256904e10859b0c,match,0.7,7
A,female,no,11/26/15,26,cb5db66a6f0b7ac5c066056025e3e385,match,0.7,7
A,female,no,11/26/15,25,c9a8a4a23c58f9d7c6bfba8fe57ee850,match,0.7,7
A,female,no,11/26/15,25,805ab4ca5ca2010031988673c02bf033,match,0.7,7
A,female,no,11/26/15,29,8406b524d27c56a1122854cd593d0aa7,match,0.7,7
A,female,no,11/26/15,27,ea18b678bc2c3a25718584408df3e033,match,0.7,7
A,female,no,11/26/15,23,7d18f98266ac4cc4a0994122ed076623,match,0.7,7
A,female,no,11/26/15,20,24053e77d0986d1130c159e2e890b9ad,match,0.7,7
A,female,no,11/26/15,25,e7acf311bbdcb1b73eb032269d00bb12,match,0.7,7
A,female,no,11/26/15,20,bc8e35b72299ff2cc3255dd507b9efe5,match,0.7,7
A,female,no,11/26/15,26,139aae0e38f3c3573d249dd64639ada5,match,0.7,7
A,female,no,11/26/15,33,640995cafb4f5d8e8f4e76c586cab508,match,0.7,7
A,female,no,11/27/15,26,f782bb3cf5cc9b9cd7ca5ed7779edb57,match,0.7,7
A,female,no,11/27/15,35,f1104ca72ccf3fb328cd4343038cdefe,match,0.7,7
A,female,no,11/27/15,36,b575a000c02ff48e0c8a01f35f7bfe16,match,0.7,7
A,female,no,11/27/15,24,47333e7fd8558bd62badda5903ac6e9e,match,0.7,7
A,female,no,11/27/15,25,5f92958573d6410a17e92a0b36d2a29a,match,0.7,7
A,female,no,11/27/15,25,a50466fc46527c9f8accb4fb831dd796,match,0.7,7
A,female,no,11/27/15,28,608db51921619cbd172a4dded061a747,match,0.7,7
A,female,no,11/27/15,26,ded37d0f0c0e371011959ee10f3a8580,match,0.7,7
A,female,no,11/27/15,20,0b48ec4f18d0a61a6c4b51c1a28eb8d2,match,0.7,7
A,female,no,11/27/15,37,228ee6cdf7c9f9b515c8fb888a165d67,match,0.7,7
A,female,no,11/27/15,28,d2793e06d18bd8c72511119d6e1d9aa3,match,0.7,7
A,female,no,11/27/15,37,7adbf8088afc396c31fe73624f3bed7b,match,0.7,7
A,female,no,11/27/15,20,9537dbc63ebde6c13bf0fac76a9bc272,match,0.7,7
A,female,no,11/27/15,33,228ee6cdf7c9f9b515c8fb888a165d67,match,0.7,7
A,female,no,11/27/15,23,2b596b36487a284b4dd7c196924329ec,match,0.7,7
A,female,no,11/27/15,23,1bc2338a8fe85080ea1eeeecf4246aa6,match,0.7,7
A,female,no,11/27/15,24,f250b75ded2d14d77cb00616d552a600,match,0.7,7
A,female,no,11/27/15,27,b5a3bcf37574916a5479ec25445763f3,match,0.7,7
A,female,no,11/27/15,20,302458aaa8d3d557ed4b873295a5e19f,match,0.7,7
A,female,no,11/27/15,22,3bae221cb9e86496475f57988164d295,match,0.7,7
A,female,no,11/27/15,38,e53a3384691354f6349bc3ae501b5b69,match,0.7,7
A,female,no,11/27/15,38,228ee6cdf7c9f9b515c8fb888a165d67,match,0.7,7
A,female,no,11/27/15,37,3d39e8bb21b344844c9409d3f1fe0794,match,0.7,7
A,female,no,11/27/15,31,da9e786cb5670e2967460d9c2672a094,match,0.7,7
A,female,no,11/27/15,26,afdfe5a7066039ae89a236021e192e54,match,0.7,7
A,female,no,11/27/15,28,3c2ec08addb4522cb9ab06387d10e9f0,match,0.7,7
A,female,no,11/27/15,35,55b5b60fa5b96143b95a42f602eab551,match,0.7,7
A,female,no,11/27/15,34,921c2b73d092884d1d345e1b4f20b940,match,0.7,7
A,female,no,11/27/15,38,59f9acdc19c361e5f683af219700727a,match,0.7,7
A,female,no,11/27/15,30,1b8b6cfd0352baab967e33a5388ba4b0,match,0.7,7
A,female,no,11/27/15,27,3173cc1e78e419c08c1802eb25900ecd,match,0.7,7
A,female,no,11/27/15,31,9f6086f0deb535ca9a16dbe4d66d8e47,match,0.7,7
A,female,no,11/27/15,35,52ea3d76d6b9a181b56e4a6e6a77633c,match,0.7,7
A,female,no,11/27/15,32,b575a000c02ff48e0c8a01f35f7bfe16,match,0.7,7
A,female,no,11/27/15,26,5ede983dd68c8d7db7a99a7860c9dafb,match,0.7,7
A,female,no,11/27/15,28,d9a45fed3b6eabed9a7ee4939c82d37f,match,0.7,7
A,female,no,11/27/15,25,4202105306d2d354e56e5e08a084441b,match,0.7,7
A,female,no,11/27/15,23,f9ba4dd5df2717b9605615dcba6ac90e,match,0.7,7
A,female,no,11/27/15,23,defcf476f32116dec17ea5bb8dac19bc,match,0.7,7
A,female,no,11/27/15,21,b3b78b9e8c128e30bb6cafbad91da8eb,match,0.7,7
A,female,no,11/27/15,34,98be12c00195665796464c75e9c3ee91,match,0.7,7
A,female,no,11/27/15,27,756b626c069efd6897343094a5a51189,match,0.7,7
A,female,no,11/27/15,31,4d03d808ff3617099373b276a5d3b7ee,match,0.7,7
A,female,no,11/27/15,34,1c25f5aabd21c5ebae61f8e6f124e275,match,0.7,7
A,female,no,11/27/15,29,2b596b36487a284b4dd7c196924329ec,match,0.7,7
A,female,no,11/27/15,26,139aae0e38f3c3573d249dd64639ada5,match,0.7,7
A,female,no,11/27/15,36,c3a2af30bde2fd25f0e1ce2c55724c61,match,0.7,7
A,female,no,11/27/15,37,7d18f98266ac4cc4a0994122ed076623,match,0.7,7
A,female,no,11/28/15,30,b3b78b9e8c128e30bb6cafbad91da8eb,match,0.7,7
A,female,no,11/28/15,25,2dd2cb0edf7f92a11efa066214b816d0,match,0.7,7
A,female,no,11/28/15,38,22c53ba64ce64ffb0503c44e4d618cc5,match,0.7,7
A,female,no,11/28/15,26,ab226e4f21f850b0d0e583122dc8a0b3,match,0.7,7
A,female,no,11/28/15,23,904062fac8a47ab0cbb43871977991e0,match,0.7,7
A,female,no,11/28/15,23,ed8353ec92cc04385d51b1826c6101ce,match,0.7,7
A,female,no,11/28/15,31,e87c7f2f6d261bc29f7e2886af95ad21,match,0.7,7
A,female,no,11/28/15,25,19b4ace46425c6e653c8310607205595,match,0.7,7
A,female,no,11/28/15,30,c090d4ca02bc06d2f596c816bb8cae2d,match,0.7,7
A,female,no,11/28/15,28,0bd25c0708b1be77ee987e65ff9757b4,match,0.7,7
A,female,no,11/28/15,38,e0d2bf5ff89cc85f1a8d626832a5e4d4,match,0.7,7
A,female,no,11/28/15,27,82ad61b54bac881f65f3664745f9c65e,match,0.7,7
A,female,no,11/28/15,27,152b2582097c32dfb07521fab653de4a,match,0.7,7
A,female,no,11/28/15,26,81510b65c5087b8705570720d3e59485,match,0.7,7
A,female,no,11/28/15,35,1db5b0f3574ecdd4b79718827cd03706,match,0.7,7
A,female,no,11/28/15,29,b575a000c02ff48e0c8a01f35f7bfe16,match,0.7,7
A,female,no,11/28/15,23,c2ad1e15c0269b609194c7898118f69c,match,0.7,7
A,female,no,11/28/15,22,7ce96860ba375de358e226aafcb2a386,match,0.7,7
A,female,no,11/28/15,26,0fc5d3a9b53d1ff4a38b4e30d1a960dd,match,0.7,7
A,female,no,11/28/15,29,801101c07b326755780afa99e3287b4f,match,0.7,7
A,female,no,11/28/15,30,db4ba6938838b1d924cb8cffa2a365d0,match,0.7,7
A,female,no,11/28/15,31,615fe6993f303c4b38f39949075b3364,match,0.7,7
A,female,no,11/28/15,32,24181481e6103d59e6661a3612c48752,match,0.7,7
A,female,no,11/28/15,34,0fc5d3a9b53d1ff4a38b4e30d1a960dd,match,0.7,7
A,female,no,11/28/15,25,aa636eecdc844844b3dc47281a71566b,match,0.7,7
A,female,no,11/28/15,38,e5c67eddba87c3bae3ccad8d1c439a27,match,0.7,7
A,female,no,11/28/15,33,7ce96860ba375de358e226aafcb2a386,match,0.7,7
A,female,no,11/28/15,25,f9fbab8fe39f6820d1d378f9fd808e7b,match,0.7,7
A,female,no,11/28/15,30,1b49bfa9fd978ebf8b6c3fcf7cfe92af,match,0.7,7
A,female,no,11/28/15,26,0fc5d3a9b53d1ff4a38b4e30d1a960dd,match,0.7,7
A,female,no,11/28/15,26,315c3732aedebff2eb62ef88af000564,match,0.7,7
A,female,no,11/28/15,24,92697540e1c43697c4768424338a58f6,match,0.7,7
A,female,no,11/28/15,33,9a2a0c362337b31650b5dd3ac955d328,match,0.7,7
A,female,no,11/28/15,30,0077d1d0f19159fda57d045f6c4dbac9,match,0.7,7
A,female,no,11/28/15,28,66d23ddb4c2209bed32a6f8a32928465,match,0.7,7
A,female,no,11/28/15,28,021cb093b5fb2b2c9fc09e8616db34b7,match,0.7,7
A,female,no,11/28/15,34,f1104ca72ccf3fb328cd4343038cdefe,match,0.7,7
A,female,no,11/28/15,28,6df3fe444e039c35179aabe69acbe6f3,match,0.7,7
A,female,no,11/28/15,23,c3a2af30bde2fd25f0e1ce2c55724c61,match,0.7,7
A,female,no,11/28/15,26,729fff50540ebfdeecee008dc2efe8a5,match,0.7,7
A,female,no,11/28/15,35,f1104ca72ccf3fb328cd4343038cdefe,match,0.7,7
A,female,no,11/28/15,32,24f0648871184975e1b11a257f139f31,match,0.7,7
A,female,no,11/28/15,31,3d9483546b0a53e7bcba76fbf25b3bc8,match,0.7,7
A,female,no,11/28/15,25,66d23ddb4c2209bed32a6f8a32928465,match,0.7,7
A,female,no,11/28/15,33,3bb03673317b1716af76cac123a1ddd5,match,0.7,7
A,female,no,11/28/15,22,e98c33259722febfd2c23c5266d04ec5,match,0.7,7
A,female,no,11/28/15,30,84415c190eea70a214a396c0927c47ca,match,0.7,7
A,female,no,11/28/15,38,45299f1af35c12d99d39cec9d7ddfb91,match,0.7,7
A,female,no,11/28/15,30,c238c83f8f1dfaf854b767776298962c,match,0.7,7
A,female,no,11/28/15,28,b9243ce278d80267a9d90344a7a36e34,match,0.7,7
A,female,no,11/28/15,22,d65a7fe8e0eb571a1e0047599f4b5054,match,0.7,7
A,female,no,11/28/15,36,c2ad1e15c0269b609194c7898118f69c,match,0.7,7
A,female,no,11/28/15,29,c2ad1e15c0269b609194c7898118f69c,match,0.7,7
A,female,no,11/28/15,27,0d9681e5fc443a270f03d3e0476d1664,match,0.7,7
A,female,no,11/28/15,28,bab9bfb478b007ed5b09d04113f37c2d,match,0.7,7
A,female,no,11/28/15,29,7ce96860ba375de358e226aafcb2a386,match,0.7,7
A,female,no,11/28/15,28,2af9755a721f96a15c53365cb1d5a759,match,0.7,7
A,female,no,11/28/15,30,c2ad1e15c0269b609194c7898118f69c,match,0.7,7
