district_nr,district_name,parent_district_nr,registered_voters_1,registered_voters_2,registered_voters_3,registered_voters_4,votes_1,votes_2,votes_3,votes_4,votes_unvalid_1,votes_unvalid_2,votes_unvalid_3,votes_unvalid_4,votes_valid_1,votes_valid_2,votes_valid_3,votes_valid_4,CDU_1,CDU_2,CDU_3,CDU_4,SPD_1,SPD_2,SPD_3,SPD_4,Linke_1,Linke_2,Linke_3,Linke_4,Gruene_1,Gruene_2,Gruene_3,Gruene_4,CSU_1,CSU_2,CSU_3,CSU_4,FDP_1,FDP_2,FDP_3,FDP_4,AfD_1,AfD_2,AfD_3,AfD_4,Piraten_1,Piraten_2,Piraten_3,Piraten_4,NPD_1,NPD_2,NPD_3,NPD_4,FW_1,FW_2,FW_3,FW_4,Mensch_1,Mensch_2,Mensch_3,Mensch_4,ÖDP_1,ÖDP_2,ÖDP_3,ÖDP_4,Arbeit_1,Arbeit_2,Arbeit_3,Arbeit_4,Bayern_1,Bayern_2,Bayern_3,Bayern_4,Volk_1,Volk_2,Volk_3,Volk_4,Vernunft_1,Vernunft_2,Vernunft_3,Vernunft_4,MLPD_1,MLPD_2,MLPD_3,MLPD_4,Soli_1,Soli_2,Soli_3,Soli_4,Sozialist_1,Sozialist_2,Sozialist_3,Sozialist_4,Rechte_1,Rechte_2,Rechte_3,Rechte_4,ADD_1,ADD_2,ADD_3,ADD_4,Alli_1,Alli_2,Alli_3,Alli_4,berg_1,berg_2,berg_3,berg_4,Grueink_1,Grueink_2,Grueink_3,Grueink_4,Demo_1,Demo_2,Demo_3,Demo_4,DKP_1,DKP_2,DKP_3,DKP_4,Mitte_1,Mitte_2,Mitte_3,Mitte_4,Graue_1,Graue_2,Graue_3,Graue_4,Urbane_1,Urbane_2,Urbane_3,Urbane_4,Garten_1,Garten_2,Garten_3,Garten_4,Welt_1,Welt_2,Welt_3,Welt_4,Huma_1,Huma_2,Huma_3,Huma_4,Gesund_1,Gesund_2,Gesund_3,Gesund_4,V-Partei_1,V-Partei_2,V-Partei_3,V-Partei_4,Bund_C_1,Bund_C_2,Bund_C_3,Bund_C_4,Einheit_1,Einheit_2,Einheit_3,Einheit_4,Violetten_1,Violetten_2,Violetten_3,Violetten_4,Familien_1,Familien_2,Familien_3,Familien_4,Frauen_1,Frauen_2,Frauen_3,Frauen_4,Mieter_1,Mieter_2,Mieter_3,Mieter_4,Neue_Lib_1,Neue_Lib_2,Neue_Lib_3,Neue_Lib_4,Unabh_1,Unabh_2,Unabh_3,Unabh_4,sonstige_1,sonstige_2,sonstige_3,sonstige_4
63,Frankfurt (Oder) – Oder-Spree,12,194757,199341,194757,199341,140074,135293,140074,135293,2125,3167,2087,2463,137949,132126,137987,132830,37342,44822,33886,44301,23595,32291,22699,29631,26399,37008,26201,32862,4505,5192,5897,5266,NA,NA,NA,NA,7007,2252,9241,2922,30259,NA,30475,8562,757,4977,NA,2911,1369,5584,1510,4058,2462,NA,1761,1219,NA,NA,2519,NA,NA,NA,279,NA,2581,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397,NA,231,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581,NA,NA,NA,NA,NA,365,NA,244,NA,NA,NA,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,911,NA,NA,900
64,Cottbus – Spree-Neiße,12,178676,187157,178676,187157,132119,125920,132119,125920,2401,2689,2092,2207,129718,123231,130027,123713,36852,44301,31366,44230,22019,29510,19728,26863,20359,24681,21456,27965,4318,3278,4092,4382,NA,NA,NA,NA,7427,2498,9937,2984,32774,NA,34902,8555,NA,2889,NA,2615,NA,4929,1445,3897,NA,NA,1106,1355,NA,NA,2401,NA,NA,NA,203,NA,3212,901,1896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583,NA,NA,NA,NA,NA,501,245,298,NA,NA,NA,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2256,9999,NA,729
65,Elbe-Elster – Oberspreewald-Lausitz II,12,168542,177689,168542,177689,123356,118680,123356,118680,2518,2668,2212,2165,120838,116012,121144,116515,35630,47454,33571,46044,20140,26132,18698,23136,19581,27137,18774,25321,3542,2899,3146,3104,NA,NA,NA,NA,6491,2085,8122,2950,29829,NA,30564,6911,NA,3834,NA,2626,NA,5608,1768,4421,4888,NA,2084,1122,NA,NA,1877,NA,NA,NA,150,NA,NA,NA,1207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421,NA,NA,NA,NA,NA,NA,323,100,NA,NA,NA,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737,540,NA,727
12,Brandenburg,99,2051507,2065944,2051507,2065944,1512246,1412785,1512246,1412785,23914,29140,21487,24423,1488332,1383645,1490759,1388362,432172,492236,397844,482601,304856,367713,261785,321174,256478,330627,255715,311312,67245,53549,74961,65182,NA,NA,NA,NA,75735,21252,105460,35365,289198,NA,301082,83075,4923,39472,NA,30785,1369,46702,13006,35578,28549,9860,17749,13416,NA,NA,26258,NA,NA,NA,2494,NA,17369,901,19478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783,NA,1282,1581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6065,NA,NA,NA,NA,NA,4667,1207,2514,NA,NA,NA,5066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4988,20126,NA,8293
66,Altmark,15,165625,172378,165625,172378,111201,107895,111201,107895,1747,1857,1337,1678,109454,106038,109864,106217,35644,44686,36021,44655,20894,18616,18716,20196,20979,32164,20352,26180,3747,2998,3648,3542,NA,NA,NA,NA,7381,1489,7837,2278,18031,NA,18419,3826,NA,2541,NA,1997,NA,2613,666,2227,1565,931,885,722,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1218,NA,NA,NA,NA,NA,NA,NA,305,NA,NA,NA,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1213,NA,NA,306
67,Börde – Jerichower Land,15,220787,228139,220787,228139,150499,141814,150499,141814,4556,2976,2414,2488,145943,138838,148085,139326,55120,61890,47411,60207,29175,32118,24055,27279,29605,29759,24709,30235,3539,3611,4236,4281,NA,NA,NA,NA,11081,3686,11367,3995,NA,NA,27947,5380,NA,4224,NA,2556,9611,NA,1326,2903,7812,2854,2079,1630,NA,NA,NA,NA,NA,NA,NA,232,NA,NA,1312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2137,NA,NA,NA,NA,NA,NA,NA,358,NA,NA,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,NA,458
68,Harz,15,215606,224917,215606,224917,143564,132539,143564,132539,2439,2595,2034,2340,141125,129944,141530,130199,51387,59779,47578,56619,24764,24875,22915,24407,27103,29860,25068,29875,4462,4928,4967,4716,NA,NA,NA,NA,6923,1852,9900,2961,22792,NA,23859,4924,NA,2556,NA,2255,NA,3304,871,2651,3253,1111,1645,929,NA,1679,NA,NA,NA,NA,NA,293,NA,NA,1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,NA,184,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2177,NA,NA,NA,NA,NA,NA,NA,365,NA,NA,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433
69,Magdeburg,15,238060,244267,238060,244267,162898,154404,162898,154404,2351,2836,2129,2378,160547,151568,160769,152026,44016,55046,44612,56982,34874,38153,27509,31763,30301,38231,30059,36473,6416,6073,8562,8490,NA,NA,NA,NA,10797,2090,12713,3687,24514,NA,26053,6355,NA,4153,NA,3654,765,2786,937,2272,1735,1875,1281,1256,NA,2758,NA,NA,NA,NA,NA,348,NA,NA,2504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461,403,289,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100,NA,3259,NA,NA,NA,NA,NA,NA,NA,533,NA,NA,NA,793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2568,NA,1665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466
70,Dessau – Wittenberg,15,177004,185954,177004,185954,123392,120805,123392,120805,2067,1836,1726,1758,121325,118969,121666,119047,42768,53048,38736,50633,14796,20545,17350,20354,22073,26015,21090,27136,5596,5196,4292,4703,NA,NA,NA,NA,6043,1489,8932,2892,23502,5575,24310,6050,NA,2053,NA,2160,1163,2814,1202,2799,3719,2234,2006,1728,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1571,NA,NA,NA,NA,NA,NA,NA,363,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1665,NA,NA,327
71,Anhalt,15,224494,236732,224494,236732,147940,140667,147940,140667,2752,2714,2422,2498,145188,137953,145518,138169,45844,56514,44619,57357,18686,21244,20271,23224,30757,39715,25887,35425,2854,2884,3455,3572,NA,NA,NA,NA,9213,2778,10849,3556,32279,6314,32346,6635,NA,1720,NA,2200,1028,3450,1204,3516,3975,2945,2197,1848,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,389,289,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186,NA,NA,NA,NA,NA,NA,NA,334,NA,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389
72,Halle,15,214668,219667,214668,219667,152485,143332,152485,143332,2217,2185,2186,2042,150268,141147,150299,141290,40688,51206,39832,53265,32051,32957,21195,25259,30528,36006,28891,34449,5475,5286,10457,10185,NA,NA,NA,NA,10131,2958,13533,4418,26017,4768,26735,5879,NA,2898,NA,3599,NA,1987,765,2134,2607,1307,1447,1147,NA,NA,NA,NA,NA,NA,NA,297,2186,NA,2896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585,449,373,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2330,NA,NA,NA,NA,NA,NA,NA,780,NA,NA,NA,683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1325,NA,341
73,Burgenland – Saalekreis,15,191636,201043,191636,201043,131199,123809,131199,123809,2298,2170,2e3,1962,128901,121639,129199,121847,43246,54544,38672,52194,16930,18791,17098,19850,21816,31300,21038,28933,3205,4760,3366,3732,NA,NA,NA,NA,8530,1879,10129,3374,30111,NA,31780,5234,NA,2488,NA,2097,1568,4854,1470,3920,3495,2581,1687,1695,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1769,NA,NA,NA,NA,NA,NA,NA,314,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,NA,475
74,Mansfeld,15,207102,217783,207102,217783,140234,132983,140234,132983,2579,2572,2307,2289,137655,130411,137927,130694,42727,54705,39755,53869,20865,23560,19834,22399,24860,35982,23905,33613,3657,3193,3250,3637,NA,NA,NA,NA,11091,2458,11233,3837,32852,NA,32982,5378,NA,3123,NA,2235,1217,4277,1297,3478,NA,2232,1161,1403,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2073,NA,NA,NA,NA,NA,NA,NA,414,NA,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,881,NA,485
15,Sachsen-Anhalt,99,1854982,1930880,1854982,1930880,1263412,1198248,1263412,1198248,23006,21741,18555,19433,1240406,1176507,1244857,1178815,401440,491418,377236,485781,213035,230859,188943,214731,238022,299032,220999,282319,38951,38929,46233,46858,NA,NA,NA,NA,81190,20679,96493,30998,210098,16657,244431,49661,NA,25756,NA,22753,15352,26085,9738,25900,28161,18070,14388,12358,NA,4437,NA,NA,NA,NA,NA,1978,2186,NA,13553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2039,1241,1843,1798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100,NA,18720,NA,NA,NA,NA,NA,NA,NA,3766,NA,NA,NA,2908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2568,NA,5606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3264,3344,NA,3680
75,Berlin-Mitte,11,206706,204085,206706,204085,151634,141574,151634,141574,3363,2282,2214,2174,148271,139292,149420,139400,27537,33265,27906,31544,34818,39360,26799,36403,30313,23200,31928,26068,26607,25687,25802,23329,NA,NA,NA,NA,8948,2088,12958,5134,11745,4212,12319,5443,NA,5463,1219,6608,NA,1363,NA,1234,658,239,357,304,NA,NA,1766,NA,703,NA,268,319,5331,1856,3800,1686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,202,182,145,203,217,78,144,277,NA,72,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,825,NA,NA,NA,903,NA,NA,261,175,NA,NA,NA,372,NA,NA,NA,487,NA,NA,NA,287,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,253,NA,NA,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,776,1879,NA,963
76,Berlin-Pankow,11,237071,235344,237071,235344,188607,175061,188607,175061,2328,2414,2198,2237,186279,172647,186409,172824,36472,41295,36993,40617,30564,36180,29186,38030,53618,48926,43638,43472,26360,25442,26619,24300,NA,NA,NA,NA,7858,1581,12304,4380,22441,7088,23291,8372,NA,5860,876,6767,NA,2872,NA,2597,1333,861,689,665,NA,NA,2465,NA,947,NA,432,416,5817,2220,4594,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,146,443,322,127,182,NA,NA,49,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,851,NA,NA,NA,999,NA,NA,NA,265,NA,NA,NA,390,NA,NA,NA,932,NA,NA,NA,331,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,531,NA,NA,NA,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,NA,NA,772
77,Berlin-Reinickendorf,11,182392,182934,182392,182934,137084,133484,137084,133484,2325,2603,2171,2428,134759,130881,134913,131056,49620,58845,41890,52545,31893,38593,27096,34571,10374,8508,11508,10394,10633,8790,12302,11427,NA,NA,NA,NA,9646,2605,15278,5708,17714,5852,18484,7906,NA,3251,677,3417,NA,2254,NA,1976,NA,624,306,661,NA,NA,1921,NA,NA,NA,235,240,2825,865,1933,1074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,44,398,NA,113,75,NA,NA,31,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,321,NA,NA,NA,275,NA,NA,NA,42,NA,NA,NA,304,NA,1656,NA,1330,NA,NA,NA,166,NA,NA,NA,NA,NA,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694,NA,968
78,Berlin-Spandau – Charlottenburg Nord,11,184602,187363,184602,187363,132934,130485,132934,130485,2378,2722,2276,2639,130556,127763,130658,127846,40356,50071,36703,46757,41966,47790,29721,36932,9850,9199,12761,12146,8027,5942,11053,10542,NA,NA,NA,NA,8283,1788,12937,4856,17552,5543,18469,7458,NA,4030,873,3960,NA,2022,NA,1815,NA,555,380,550,NA,NA,2109,NA,1e3,NA,392,224,3239,NA,2224,1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,NA,150,85,NA,270,59,164,NA,NA,46,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,375,NA,NA,NA,306,NA,NA,NA,31,NA,NA,NA,326,NA,NA,NA,784,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,296,NA,NA,NA,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,NA,1264
79,Berlin-Steglitz-Zehlendorf,11,221209,220007,221209,220007,180827,175539,180827,175539,2485,2559,2110,2102,178342,172980,178717,173437,63057,73460,53277,64500,43770,50540,34180,44371,13401,9102,16360,12426,22719,20416,25340,23487,NA,NA,NA,NA,16105,4605,25324,11057,14570,7321,15879,9257,NA,4216,667,4358,NA,1165,NA,1016,NA,598,341,552,NA,NA,1823,NA,NA,NA,285,353,3725,1276,2137,1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,55,564,281,122,140,NA,NA,19,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,451,NA,NA,NA,508,NA,NA,NA,55,NA,NA,NA,292,NA,NA,NA,597,NA,NA,NA,205,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660
80,Berlin-Charlottenburg-Wilmersdorf,11,198672,197797,198672,197797,158245,153420,158245,153420,1936,2086,1429,1755,156309,151334,156816,151665,47189,56079,40120,49285,43160,47619,30489,41058,14745,9368,18322,13446,21233,22176,24794,23324,NA,NA,NA,NA,14420,3801,23296,10347,11807,5649,12418,7276,NA,3657,689,3872,NA,754,NA,639,NA,478,202,457,NA,NA,1474,NA,NA,NA,223,242,3293,1057,2097,976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,45,462,181,102,120,NA,NA,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,430,NA,NA,NA,446,NA,NA,NA,39,NA,NA,NA,265,NA,NA,NA,449,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,NA,539
81,Berlin-Tempelhof-Schöneberg,11,235250,235259,235250,235259,181259,177205,181259,177205,2661,3046,2162,2773,178598,174159,179097,174432,51734,60926,44721,55275,39278,45659,36179,47834,19353,12801,23652,17937,33774,35461,27962,26941,NA,NA,NA,NA,11361,2585,18576,7134,16200,6391,17122,7988,1677,5233,1174,5526,NA,1789,NA,1588,NA,905,375,759,NA,NA,2149,NA,NA,NA,268,342,3864,1494,2902,1578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,73,405,348,128,221,196,NA,59,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,604,NA,NA,NA,636,NA,NA,NA,95,NA,NA,NA,359,NA,NA,NA,787,NA,NA,NA,291,NA,NA,NA,NA,NA,756,NA,372,NA,NA,NA,NA,NA,NA,NA,261,NA,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,NA,1173
82,Berlin-Neukölln,11,202616,205635,202616,205635,143790,140825,143790,140825,2570,3102,2980,2868,141220,137723,140810,137957,34490,42092,31439,40038,37795,44528,27434,36211,23398,16144,25835,19677,15485,16126,18393,19156,NA,NA,NA,NA,7149,1861,10847,4122,15142,4140,15666,5832,NA,6094,974,5654,261,3094,NA,2627,NA,794,222,689,NA,NA,2112,NA,NA,NA,206,255,5146,2420,3453,2060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,208,192,143,270,222,112,126,NA,NA,30,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,664,NA,NA,NA,730,NA,NA,NA,100,NA,NA,NA,362,NA,1183,NA,888,NA,NA,NA,333,NA,NA,NA,NA,NA,NA,NA,268,NA,NA,NA,NA,NA,NA,NA,275,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1287
