emoji
🔫
💣
✊
🔪
🚑
✊
💀
☠️
🗑
😠
👹
💩
🖕
👎️
😡
🤢
🤮
😖
😣
😩
😨
😝
😳
😬
😱
😵
😤
🤦‍♀️
🤦‍
