timestamp,code,i01,i02r,i03,i04,i05,i06r,i07,i08,i09,i10,n_facebook_friends,n_hangover,age,sex,extra_single_item,time_conversation,presentation,n_party,clients,extra_vignette,i21,extra_vignette2,major,smoker,sleep_week,sleep_wend,clients_freq,extra_mean,extra_md,extra_aad,extra_mode,extra_iqr
11.05.2015 21:53:59,MKB,3,4,2,4,4,2,3,3,4,4,150,1,25,Frau,3,7,ja,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.5,0.7,4,1
15.09.2015 15:28:03,RWM,4,3,2,4,3,2,4,2,4,3,220,1,23,Mann,3,20,nein,5,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,3.1,3,0.72,4,1.75
15.09.2015 15:28:40,EBM,2,3,4,3,2,3,3,3,3,2,200,1,23,Frau,3,40,nein,5,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA,1,2.8,3,0.4800000000000001,3,0.75
15.09.2015 15:29:47,BED,3,2,1,3,3,3,2,3,3,2,400,2,33,Frau,3,10,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.5,3,0.6,3,1
15.09.2015 15:32:00,AUA,3,2,2,3,3,3,4,1,3,3,800,1,21,Mann,2,5,ja,0,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,2.7,3,0.6199999999999999,3,0.75
15.09.2015 15:37:06,MDG,3,1,2,4,3,1,3,3,2,4,350,50,24,Mann,1,10,nein,50,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA,1,2.6,3,0.88,3,1
15.09.2015 16:04:55,TBA,4,4,2,4,3,3,3,4,4,4,423,10,23,Frau,3,10,ja,15,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.5,4,0.6,4,1
15.09.2015 16:19:39,SBR,3,3,1,3,3,3,3,3,4,2,NA,4,25,Frau,3,5,nein,8,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.8,3,0.5200000000000001,3,0
15.09.2015 16:29:17,UFW,4,4,3,4,3,3,3,3,3,2,250,0,24,Frau,4,10,ja,65,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.2,3,0.4800000000000001,3,0.75
15.09.2015 17:20:23,HHB,4,3,2,4,4,3,3,3,4,3,NA,2,21,Frau,4,2,ja,5,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA,1,3.3,3,0.5599999999999999,3,1
15.09.2015 17:20:54,HHB,4,3,2,4,4,3,3,3,4,3,0,2,21,Frau,4,2,ja,5,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA,1,3.3,3,0.5599999999999999,3,1
15.09.2015 19:02:03,RVK,4,3,1,4,4,3,4,4,4,3,767,0,22,Mann,4,5,ja,110,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.4,4,0.72,4,1
15.09.2015 19:35:41,MMR,2,2,2,2,1,1,3,2,2,1,600,3,22,Mann,2,1e9,nein,5,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA,2,1.8,2,0.48,2,0.75
15.09.2015 20:29:13,JAA,4,4,1,3,3,3,4,3,3,4,473,2,22,Frau,4,3,ja,12,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA,1,3.2,3,0.64,3,1
15.09.2015 21:58:12,EBM,2,3,4,3,2,3,3,3,3,2,200,1,23,Frau,3,40,nein,5,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA,1,2.8,3,0.4800000000000001,3,0.75
